1.0	1.42	2.59	3.72	2.75	1.73	1.71	1.64	1.39	1.15	1.25	1.31
1.0	1.01	1.1	1.49	1.94	4.6	8.28	10.84	8.57	8.05	6.75	5.62
1.0	1.42	4.28	8.49	7.67	20.4	15.25	13.54	6.5	2.22	3.37	4.6
1.0	2.67	2.41	3.75	6.18	38.8	86.92	25.58	14.81	6.73	2.72	2.42
1.0	0.96	1.12	1.29	1.46	3.08	3.35	3.42	2.5	1.86	1.76	1.59
1.0	0.9	0.79	0.81	0.83	0.61	0.5	0.45	0.47	0.78	0.79	0.86
1.0	1.86	4.0	7.05	4.74	3.58	2.92	2.77	1.66	1.58	1.5	1.35
1.0	1.04	1.25	1.18	1.03	0.92	0.75	0.65	0.54	0.58	0.55	0.54
1.0	0.99	0.96	0.99	1.07	1.18	1.2	1.41	1.65	1.65	1.78	1.83
1.0	1.1	1.23	1.16	1.11	1.13	1.26	1.43	1.66	2.65	3.7	5.25
