1.0	1.3	2.23	2.89	2.14	1.51	1.38	1.35	1.06	0.83	0.84	0.8
1.0	0.99	1.07	1.25	1.4	3.36	5.85	7.66	6.14	5.26	4.77	4.0
1.0	1.38	3.08	5.86	5.42	9.37	7.38	6.68	3.39	1.71	1.96	2.45
1.0	1.11	1.33	1.59	2.03	8.19	15.39	7.46	3.36	1.95	1.38	1.3
1.0	0.94	1.09	1.23	1.41	2.65	2.48	2.61	2.25	1.61	1.51	1.38
1.0	0.9	0.78	0.79	0.81	0.6	0.48	0.44	0.47	0.77	0.76	0.82
1.0	1.97	4.33	7.61	4.59	3.3	2.83	2.7	1.66	1.64	1.55	1.33
1.0	0.94	1.02	0.98	0.88	0.74	0.59	0.47	0.39	0.48	0.44	0.45
1.0	1.04	1.04	1.01	0.98	0.82	0.71	0.68	0.75	1.02	1.08	1.16
1.0	1.05	1.09	1.1	1.16	1.17	1.27	1.43	1.65	2.39	3.08	4.0
